,index,y
899830,2015-04-23_8QR,26
940151,2015-04-24_8QR,24
980473,2015-04-25_8QR,6
1020786,2015-04-26_8QR,32
1061164,2015-04-27_8QR,27
1101495,2015-04-28_8QR,28
1139212,2015-04-29_8QR,26
1176075,2015-04-30_8QR,18
13464,2015-05-01_8QR,5
53827,2015-05-02_8QR,0
94354,2015-05-03_8QR,6
134819,2015-05-04_8QR,28
175385,2015-05-05_8QR,37
215902,2015-05-06_8QR,35
256458,2015-05-07_8QR,24
296842,2015-05-08_8QR,0
337185,2015-05-09_8QR,6
377671,2015-05-10_8QR,11
418169,2015-05-11_8QR,32
458669,2015-05-12_8QR,33
499145,2015-05-13_8QR,30
539627,2015-05-14_8QR,0
580159,2015-05-15_8QR,21
620628,2015-05-16_8QR,10
661137,2015-05-17_8QR,25
701437,2015-05-18_8QR,46
741784,2015-05-19_8QR,28
782226,2015-05-20_8QR,29
822540,2015-05-21_8QR,30
862780,2015-05-22_8QR,23
903160,2015-05-23_8QR,10
943473,2015-05-24_8QR,18
983807,2015-05-25_8QR,17
1024101,2015-05-26_8QR,29
1064520,2015-05-27_8QR,29
1104817,2015-05-28_8QR,32
1142538,2015-05-29_8QR,23
1179430,2015-05-30_8QR,5
1213009,2015-05-31_8QR,12
16771,2015-06-01_8QR,29
57162,2015-06-02_8QR,32
97653,2015-06-03_8QR,25
138171,2015-06-04_8QR,26
178735,2015-06-05_8QR,29
219273,2015-06-06_8QR,18
259817,2015-06-07_8QR,0
300149,2015-06-08_8QR,36
340500,2015-06-09_8QR,35
381031,2015-06-10_8QR,25
421569,2015-06-11_8QR,34
462071,2015-06-12_8QR,29
502515,2015-06-13_8QR,7
542997,2015-06-14_8QR,24
583546,2015-06-15_8QR,42
624020,2015-06-16_8QR,32
60522,2015-07-02_8QR,0
101023,2015-07-03_8QR,26
141531,2015-07-04_8QR,5
182088,2015-07-05_8QR,18
222663,2015-07-06_8QR,31
263199,2015-07-07_8QR,21
303534,2015-07-08_8QR,28
343891,2015-07-09_8QR,32
384425,2015-07-10_8QR,26
424958,2015-07-11_8QR,6
465438,2015-07-12_8QR,17
505891,2015-07-13_8QR,14
546386,2015-07-14_8QR,0
586948,2015-07-15_8QR,23
627414,2015-07-16_8QR,25
667844,2015-07-17_8QR,28
708136,2015-07-18_8QR,5
748471,2015-07-19_8QR,8
788922,2015-07-20_8QR,32
829221,2015-07-21_8QR,29
869465,2015-07-22_8QR,25
909737,2015-07-23_8QR,24
950067,2015-07-24_8QR,29
990428,2015-07-25_8QR,5
1030727,2015-07-26_8QR,12
1071110,2015-07-27_8QR,27
1111400,2015-07-28_8QR,28
1149141,2015-07-29_8QR,27
1186018,2015-07-30_8QR,33
1216409,2015-07-31_8QR,24
23380,2015-08-01_8QR,12
63926,2015-08-02_8QR,8
104423,2015-08-03_8QR,19
144933,2015-08-04_8QR,6
185499,2015-08-05_8QR,10
226074,2015-08-06_8QR,9
266590,2015-08-07_8QR,6
306928,2015-08-08_8QR,5
347293,2015-08-09_8QR,6
387825,2015-08-10_8QR,15
428352,2015-08-11_8QR,9
468828,2015-08-12_8QR,7
509292,2015-08-13_8QR,15
549768,2015-08-14_8QR,7
590283,2015-08-15_8QR,0
630710,2015-08-16_8QR,0
671138,2015-08-17_8QR,9
711450,2015-08-18_8QR,11
751792,2015-08-19_8QR,14
792228,2015-08-20_8QR,14
832525,2015-08-21_8QR,9
872768,2015-08-22_8QR,0
913022,2015-08-23_8QR,13
953352,2015-08-24_8QR,16
993710,2015-08-25_8QR,13
1034025,2015-08-26_8QR,16
1074403,2015-08-27_8QR,19
1114701,2015-08-28_8QR,24
1152439,2015-08-29_8QR,11
1189316,2015-08-30_8QR,7
1219702,2015-08-31_8QR,28
26684,2015-09-01_8QR,32
67226,2015-09-02_8QR,37
107732,2015-09-03_8QR,38
148232,2015-09-04_8QR,33
188799,2015-09-05_8QR,6
229374,2015-09-06_8QR,27
269875,2015-09-07_8QR,43
310233,2015-09-08_8QR,38
350595,2015-09-09_8QR,41
391131,2015-09-10_8QR,38
431650,2015-09-11_8QR,26
472113,2015-09-12_8QR,5
512580,2015-09-13_8QR,14
553058,2015-09-14_8QR,37
593564,2015-09-15_8QR,40
634025,2015-09-16_8QR,34
674453,2015-09-17_8QR,39
714781,2015-09-18_8QR,35
755144,2015-09-19_8QR,16
795573,2015-09-20_8QR,0
835889,2015-09-21_8QR,39
876149,2015-09-22_8QR,38
916425,2015-09-23_8QR,31
956754,2015-09-24_8QR,33
997108,2015-09-25_8QR,35
1037429,2015-09-26_8QR,14
1077812,2015-09-27_8QR,16
1118121,2015-09-28_8QR,35
1155853,2015-09-29_8QR,35
1192734,2015-09-30_8QR,29
30109,2015-10-01_8QR,21
70653,2015-10-02_8QR,30
111160,2015-10-03_8QR,16
151656,2015-10-04_8QR,15
192222,2015-10-05_8QR,42
232799,2015-10-06_8QR,32
273308,2015-10-07_8QR,34
313659,2015-10-08_8QR,34
354007,2015-10-09_8QR,31
394552,2015-10-10_8QR,8
435062,2015-10-11_8QR,11
475520,2015-10-12_8QR,40
516000,2015-10-13_8QR,36
556486,2015-10-14_8QR,31
596986,2015-10-15_8QR,34
637453,2015-10-16_8QR,30
677877,2015-10-17_8QR,15
718190,2015-10-18_8QR,7
758542,2015-10-19_8QR,38
798992,2015-10-20_8QR,24
839313,2015-10-21_8QR,29
879554,2015-10-22_8QR,28
919834,2015-10-23_8QR,25
960174,2015-10-24_8QR,16
1000520,2015-10-25_8QR,29
1040848,2015-10-26_8QR,42
1081233,2015-10-27_8QR,33
1121546,2015-10-28_8QR,28
1159267,2015-10-29_8QR,31
1196146,2015-10-30_8QR,22
1223131,2015-10-31_8QR,16
33523,2015-11-01_8QR,9
74076,2015-11-02_8QR,39
114575,2015-11-03_8QR,43
155074,2015-11-04_8QR,40
195649,2015-11-05_8QR,44
236218,2015-11-06_8QR,36
276718,2015-11-07_8QR,16
317079,2015-11-08_8QR,27
357415,2015-11-09_8QR,51
397964,2015-11-10_8QR,41
438473,2015-11-11_8QR,0
478945,2015-11-12_8QR,40
519417,2015-11-13_8QR,34
559910,2015-11-14_8QR,15
600388,2015-11-15_8QR,6
640868,2015-11-16_8QR,43
681277,2015-11-17_8QR,35
721594,2015-11-18_8QR,35
761956,2015-11-19_8QR,43
802394,2015-11-20_8QR,33
842716,2015-11-21_8QR,5
882965,2015-11-22_8QR,13
923234,2015-11-23_8QR,44
963566,2015-11-24_8QR,40
1003923,2015-11-25_8QR,26
1044261,2015-11-26_8QR,29
1084636,2015-11-27_8QR,34
1124927,2015-11-28_8QR,7
1162674,2015-11-29_8QR,5
1199541,2015-11-30_8QR,37
36897,2015-12-01_8QR,27
77485,2015-12-02_8QR,37
117972,2015-12-03_8QR,27
158487,2015-12-04_8QR,30
199061,2015-12-05_8QR,12
239623,2015-12-06_8QR,15
280110,2015-12-07_8QR,42
320470,2015-12-08_8QR,38
360826,2015-12-09_8QR,31
401365,2015-12-10_8QR,33
441864,2015-12-11_8QR,31
482335,2015-12-12_8QR,6
522810,2015-12-13_8QR,11
563312,2015-12-14_8QR,44
603783,2015-12-15_8QR,32
644285,2015-12-16_8QR,35
684679,2015-12-17_8QR,40
724993,2015-12-18_8QR,42
765353,2015-12-19_8QR,5
805794,2015-12-20_8QR,11
846115,2015-12-21_8QR,32
886362,2015-12-22_8QR,38
926650,2015-12-23_8QR,27
966974,2015-12-24_8QR,15
1007327,2015-12-25_8QR,6
1047664,2015-12-26_8QR,13
1088034,2015-12-27_8QR,10
1128324,2015-12-28_8QR,26
1166010,2015-12-29_8QR,24
1202921,2015-12-30_8QR,25
1226521,2015-12-31_8QR,20
426,2016-01-01_8QR,7
40731,2016-01-02_8QR,12
81321,2016-01-03_8QR,0
121808,2016-01-04_8QR,48
162319,2016-01-05_8QR,38
202793,2016-01-06_8QR,41
243356,2016-01-07_8QR,41
283790,2016-01-08_8QR,41
324122,2016-01-09_8QR,11
364561,2016-01-10_8QR,0
405110,2016-01-11_8QR,52
445637,2016-01-12_8QR,39
486111,2016-01-13_8QR,37
526590,2016-01-14_8QR,42
567065,2016-01-15_8QR,39
607511,2016-01-16_8QR,13
648038,2016-01-17_8QR,22
688404,2016-01-18_8QR,50
728767,2016-01-19_8QR,38
769153,2016-01-20_8QR,40
809590,2016-01-21_8QR,37
849888,2016-01-22_8QR,7
890113,2016-01-23_8QR,0
930433,2016-01-24_8QR,0
970745,2016-01-25_8QR,26
1011058,2016-01-26_8QR,38
1051434,2016-01-27_8QR,35
1091790,2016-01-28_8QR,41
1132076,2016-01-29_8QR,41
1169756,2016-01-30_8QR,14
1206707,2016-01-31_8QR,5
3740,2016-02-01_8QR,52
44098,2016-02-02_8QR,46
84686,2016-02-03_8QR,40
125174,2016-02-04_8QR,34
165691,2016-02-05_8QR,44
206194,2016-02-06_8QR,0
246746,2016-02-07_8QR,13
287176,2016-02-08_8QR,51
327514,2016-02-09_8QR,44
367958,2016-02-10_8QR,32
408480,2016-02-11_8QR,42
448999,2016-02-12_8QR,44
489515,2016-02-13_8QR,7
529989,2016-02-14_8QR,13
570457,2016-02-15_8QR,48
610908,2016-02-16_8QR,46
651439,2016-02-17_8QR,46
691809,2016-02-18_8QR,41
732164,2016-02-19_8QR,45
772557,2016-02-20_8QR,14
812993,2016-02-21_8QR,0
853290,2016-02-22_8QR,49
893511,2016-02-23_8QR,44
933824,2016-02-24_8QR,43
974151,2016-02-25_8QR,34
1014460,2016-02-26_8QR,39
1054842,2016-02-27_8QR,12
1095194,2016-02-28_8QR,27
1135045,2016-02-29_8QR,51
7145,2016-03-01_8QR,42
47506,2016-03-02_8QR,37
88091,2016-03-03_8QR,38
128575,2016-03-04_8QR,33
169094,2016-03-05_8QR,6
209583,2016-03-06_8QR,8
250146,2016-03-07_8QR,59
290575,2016-03-08_8QR,44
330917,2016-03-09_8QR,6
371356,2016-03-10_8QR,34
411879,2016-03-11_8QR,47
452395,2016-03-12_8QR,18
492905,2016-03-13_8QR,13
533390,2016-03-14_8QR,57
573860,2016-03-15_8QR,45
614311,2016-03-16_8QR,45
654837,2016-03-17_8QR,52
695208,2016-03-18_8QR,50
735562,2016-03-19_8QR,17
775946,2016-03-20_8QR,11
816329,2016-03-21_8QR,51
856614,2016-03-22_8QR,51
896895,2016-03-23_8QR,43
937224,2016-03-24_8QR,41
977546,2016-03-25_8QR,37
1017865,2016-03-26_8QR,14
1058240,2016-03-27_8QR,8
1098593,2016-03-28_8QR,20
1136311,2016-03-29_8QR,58
1173142,2016-03-30_8QR,48
1210102,2016-03-31_8QR,19
10560,2016-04-01_8QR,48
50916,2016-04-02_8QR,14
91495,2016-04-03_8QR,13
131970,2016-04-04_8QR,57
172487,2016-04-05_8QR,53
212969,2016-04-06_8QR,45
253540,2016-04-07_8QR,54
293975,2016-04-08_8QR,39
334309,2016-04-09_8QR,9
374749,2016-04-10_8QR,17
415274,2016-04-11_8QR,59
455784,2016-04-12_8QR,60
496287,2016-04-13_8QR,47
536764,2016-04-14_8QR,57
577252,2016-04-15_8QR,51
617714,2016-04-16_8QR,22
658223,2016-04-17_8QR,18
698553,2016-04-18_8QR,44
738909,2016-04-19_8QR,45
779293,2016-04-20_8QR,42
819658,2016-04-21_8QR,42
859896,2016-04-22_8QR,30
900256,2016-04-23_8QR,12
940577,2016-04-24_8QR,17
980898,2016-04-25_8QR,47
1021206,2016-04-26_8QR,27
1061591,2016-04-27_8QR,39
1101922,2016-04-28_8QR,38
1139639,2016-04-29_8QR,39
1176502,2016-04-30_8QR,18
13887,2016-05-01_8QR,11
54252,2016-05-02_8QR,60
94777,2016-05-03_8QR,51
135246,2016-05-04_8QR,45
175811,2016-05-05_8QR,10
216329,2016-05-06_8QR,28
256883,2016-05-07_8QR,13
297266,2016-05-08_8QR,27
337610,2016-05-09_8QR,54
378094,2016-05-10_8QR,53
418597,2016-05-11_8QR,47
459097,2016-05-12_8QR,53
499573,2016-05-13_8QR,42
540054,2016-05-14_8QR,7
580587,2016-05-15_8QR,9
621052,2016-05-16_8QR,14
661564,2016-05-17_8QR,56
701864,2016-05-18_8QR,39
742211,2016-05-19_8QR,41
782654,2016-05-20_8QR,43
822968,2016-05-21_8QR,11
863208,2016-05-22_8QR,12
903585,2016-05-23_8QR,49
943895,2016-05-24_8QR,59
984232,2016-05-25_8QR,51
1024529,2016-05-26_8QR,53
1064948,2016-05-27_8QR,49
1105245,2016-05-28_8QR,19
1142966,2016-05-29_8QR,14
1179857,2016-05-30_8QR,49
1213435,2016-05-31_8QR,40
17199,2016-06-01_8QR,17
57590,2016-06-02_8QR,15
98081,2016-06-03_8QR,8
219699,2016-06-06_8QR,0
260240,2016-06-07_8QR,22
300576,2016-06-08_8QR,23
340927,2016-06-09_8QR,23
381458,2016-06-10_8QR,13
421996,2016-06-11_8QR,0
462496,2016-06-12_8QR,0
502940,2016-06-13_8QR,44
543419,2016-06-14_8QR,46
583971,2016-06-15_8QR,41
624445,2016-06-16_8QR,47
664878,2016-06-17_8QR,48
705156,2016-06-18_8QR,12
745492,2016-06-19_8QR,15
785941,2016-06-20_8QR,56
826241,2016-06-21_8QR,53
866489,2016-06-22_8QR,49
906786,2016-06-23_8QR,48
947103,2016-06-24_8QR,45
987453,2016-06-25_8QR,6
1027744,2016-06-26_8QR,5
1068145,2016-06-27_8QR,49
1108432,2016-06-28_8QR,51
1146158,2016-06-29_8QR,49
1183053,2016-06-30_8QR,58
20398,2016-07-01_8QR,41
60940,2016-07-02_8QR,16
101447,2016-07-03_8QR,9
141953,2016-07-04_8QR,52
182510,2016-07-05_8QR,49
223088,2016-07-06_8QR,43
263625,2016-07-07_8QR,49
303960,2016-07-08_8QR,42
344317,2016-07-09_8QR,13
384851,2016-07-10_8QR,11
425383,2016-07-11_8QR,38
465861,2016-07-12_8QR,39
506315,2016-07-13_8QR,41
546806,2016-07-14_8QR,0
587368,2016-07-15_8QR,25
627832,2016-07-16_8QR,10
668262,2016-07-17_8QR,7
708554,2016-07-18_8QR,34
748889,2016-07-19_8QR,43
789341,2016-07-20_8QR,31
829640,2016-07-21_8QR,30
869884,2016-07-22_8QR,40
910155,2016-07-23_8QR,6
950486,2016-07-24_8QR,8
990846,2016-07-25_8QR,46
1031144,2016-07-26_8QR,48
1071528,2016-07-27_8QR,32
1111818,2016-07-28_8QR,40
1149558,2016-07-29_8QR,41
1186435,2016-07-30_8QR,7
1216827,2016-07-31_8QR,8
23795,2016-08-01_8QR,41
64341,2016-08-02_8QR,36
104841,2016-08-03_8QR,28
145351,2016-08-04_8QR,30
185918,2016-08-05_8QR,25
226491,2016-08-06_8QR,5
267007,2016-08-07_8QR,6
307343,2016-08-08_8QR,30
347709,2016-08-09_8QR,19
388243,2016-08-10_8QR,13
428772,2016-08-11_8QR,25
469246,2016-08-12_8QR,12
509706,2016-08-13_8QR,0
550185,2016-08-14_8QR,0
590697,2016-08-15_8QR,0
631127,2016-08-16_8QR,14
671558,2016-08-17_8QR,23
711869,2016-08-18_8QR,18
752212,2016-08-19_8QR,15
792646,2016-08-20_8QR,5
832948,2016-08-21_8QR,23
873186,2016-08-22_8QR,36
913444,2016-08-23_8QR,25
953774,2016-08-24_8QR,29
994133,2016-08-25_8QR,22
1034447,2016-08-26_8QR,18
1074826,2016-08-27_8QR,0
1115127,2016-08-28_8QR,15
1152862,2016-08-29_8QR,47
1189741,2016-08-30_8QR,0
1220129,2016-08-31_8QR,48
27111,2016-09-01_8QR,47
67653,2016-09-02_8QR,48
108159,2016-09-03_8QR,16
148659,2016-09-04_8QR,7
189226,2016-09-05_8QR,61
229799,2016-09-06_8QR,61
270302,2016-09-07_8QR,54
310660,2016-09-08_8QR,63
351022,2016-09-09_8QR,52
391558,2016-09-10_8QR,16
432077,2016-09-11_8QR,23
472536,2016-09-12_8QR,68
513006,2016-09-13_8QR,68
553485,2016-09-14_8QR,55
593991,2016-09-15_8QR,60
634452,2016-09-16_8QR,57
674880,2016-09-17_8QR,13
715208,2016-09-18_8QR,20
755569,2016-09-19_8QR,77
795998,2016-09-20_8QR,68
836316,2016-09-21_8QR,54
876576,2016-09-22_8QR,57
916852,2016-09-23_8QR,62
957181,2016-09-24_8QR,13
997535,2016-09-25_8QR,28
1037854,2016-09-26_8QR,61
1078236,2016-09-27_8QR,68
1118548,2016-09-28_8QR,54
1156280,2016-09-29_8QR,64
1193161,2016-09-30_8QR,58
30535,2016-10-01_8QR,7
71080,2016-10-02_8QR,11
111586,2016-10-03_8QR,70
152081,2016-10-04_8QR,74
192649,2016-10-05_8QR,62
233226,2016-10-06_8QR,68
273735,2016-10-07_8QR,70
314085,2016-10-08_8QR,17
354434,2016-10-09_8QR,25
394973,2016-10-10_8QR,68
435478,2016-10-11_8QR,61
475947,2016-10-12_8QR,54
516427,2016-10-13_8QR,67
556913,2016-10-14_8QR,64
597411,2016-10-15_8QR,16
637879,2016-10-16_8QR,19
678298,2016-10-17_8QR,74
718612,2016-10-18_8QR,63
758968,2016-10-19_8QR,61
799418,2016-10-20_8QR,58
839739,2016-10-21_8QR,60
879981,2016-10-22_8QR,9
920260,2016-10-23_8QR,23
960596,2016-10-24_8QR,42
1000943,2016-10-25_8QR,57
1041275,2016-10-26_8QR,45
1081660,2016-10-27_8QR,55
1121972,2016-10-28_8QR,41
1159692,2016-10-29_8QR,14
1196571,2016-10-30_8QR,19
1223553,2016-10-31_8QR,35
33949,2016-11-01_8QR,29
74503,2016-11-02_8QR,48
115002,2016-11-03_8QR,61
155501,2016-11-04_8QR,57
196075,2016-11-05_8QR,10
236645,2016-11-06_8QR,21
277141,2016-11-07_8QR,67
317500,2016-11-08_8QR,62
357842,2016-11-09_8QR,50
398391,2016-11-10_8QR,60
438900,2016-11-11_8QR,14
479372,2016-11-12_8QR,21
519844,2016-11-13_8QR,34
560333,2016-11-14_8QR,69
600814,2016-11-15_8QR,70
641296,2016-11-16_8QR,58
681704,2016-11-17_8QR,59
722020,2016-11-18_8QR,62
762381,2016-11-19_8QR,21
802820,2016-11-20_8QR,24
843138,2016-11-21_8QR,68
883389,2016-11-22_8QR,70
923660,2016-11-23_8QR,57
963992,2016-11-24_8QR,56
1004349,2016-11-25_8QR,63
1044687,2016-11-26_8QR,16
1085063,2016-11-27_8QR,34
1125351,2016-11-28_8QR,79
1163046,2016-11-29_8QR,64
1199932,2016-11-30_8QR,51
37325,2016-12-01_8QR,65
77913,2016-12-02_8QR,56
118400,2016-12-03_8QR,24
158914,2016-12-04_8QR,20
199486,2016-12-05_8QR,71
240046,2016-12-06_8QR,62
280538,2016-12-07_8QR,48
320895,2016-12-08_8QR,45
361254,2016-12-09_8QR,45
401793,2016-12-10_8QR,16
442293,2016-12-11_8QR,0
482762,2016-12-12_8QR,70
523238,2016-12-13_8QR,65
563741,2016-12-14_8QR,54
604211,2016-12-15_8QR,55
644714,2016-12-16_8QR,56
685107,2016-12-17_8QR,14
725422,2016-12-18_8QR,5
765782,2016-12-19_8QR,45
806221,2016-12-20_8QR,44
846544,2016-12-21_8QR,42
886791,2016-12-22_8QR,38
927078,2016-12-23_8QR,29
967401,2016-12-24_8QR,7
1007750,2016-12-25_8QR,10
1048091,2016-12-26_8QR,20
1088460,2016-12-27_8QR,27
1128752,2016-12-28_8QR,33
1166438,2016-12-29_8QR,33
1203347,2016-12-30_8QR,29
1226948,2016-12-31_8QR,10
851,2017-01-01_8QR,17
41157,2017-01-02_8QR,43
81748,2017-01-03_8QR,64
122236,2017-01-04_8QR,60
162748,2017-01-05_8QR,59
203222,2017-01-06_8QR,57
243784,2017-01-07_8QR,20
284219,2017-01-08_8QR,15
324549,2017-01-09_8QR,62
364989,2017-01-10_8QR,54
405539,2017-01-11_8QR,54
446066,2017-01-12_8QR,56
486540,2017-01-13_8QR,23
527019,2017-01-14_8QR,13
567494,2017-01-15_8QR,12
607940,2017-01-16_8QR,64
648467,2017-01-17_8QR,62
688833,2017-01-18_8QR,45
729196,2017-01-19_8QR,67
769582,2017-01-20_8QR,58
810018,2017-01-21_8QR,14
850316,2017-01-22_8QR,14
890540,2017-01-23_8QR,71
930858,2017-01-24_8QR,60
971174,2017-01-25_8QR,46
1011487,2017-01-26_8QR,58
1051863,2017-01-27_8QR,52
1092219,2017-01-28_8QR,5
1132505,2017-01-29_8QR,7
1170184,2017-01-30_8QR,59
1207133,2017-01-31_8QR,61
4169,2017-02-01_8QR,49
44527,2017-02-02_8QR,66
85115,2017-02-03_8QR,57
125603,2017-02-04_8QR,15
166120,2017-02-05_8QR,9
206621,2017-02-06_8QR,50
247172,2017-02-07_8QR,55
287605,2017-02-08_8QR,55
327943,2017-02-09_8QR,50
368387,2017-02-10_8QR,55
408908,2017-02-11_8QR,24
449428,2017-02-12_8QR,5
489938,2017-02-13_8QR,57
530413,2017-02-14_8QR,56
570886,2017-02-15_8QR,50
611337,2017-02-16_8QR,43
651869,2017-02-17_8QR,46
692238,2017-02-18_8QR,17
732592,2017-02-19_8QR,16
772983,2017-02-20_8QR,65
813416,2017-02-21_8QR,62
853717,2017-02-22_8QR,56
893938,2017-02-23_8QR,67
934251,2017-02-24_8QR,58
974579,2017-02-25_8QR,19
1014888,2017-02-26_8QR,12
1055266,2017-02-27_8QR,59
1095616,2017-02-28_8QR,64
7574,2017-03-01_8QR,48
47935,2017-03-02_8QR,70
88520,2017-03-03_8QR,61
129004,2017-03-04_8QR,23
169516,2017-03-05_8QR,12
210006,2017-03-06_8QR,65
250575,2017-03-07_8QR,69
291004,2017-03-08_8QR,65
331337,2017-03-09_8QR,70
371785,2017-03-10_8QR,59
412308,2017-03-11_8QR,21
452823,2017-03-12_8QR,29
493329,2017-03-13_8QR,58
533819,2017-03-14_8QR,72
574289,2017-03-15_8QR,49
614740,2017-03-16_8QR,59
655266,2017-03-17_8QR,53
695637,2017-03-18_8QR,9
735990,2017-03-19_8QR,11
776375,2017-03-20_8QR,64
816758,2017-03-21_8QR,67
857043,2017-03-22_8QR,56
897324,2017-03-23_8QR,70
937653,2017-03-24_8QR,60
977974,2017-03-25_8QR,24
1018289,2017-03-26_8QR,13
1058662,2017-03-27_8QR,61
1099015,2017-03-28_8QR,66
1136740,2017-03-29_8QR,52
1173571,2017-03-30_8QR,62
1210529,2017-03-31_8QR,62
10989,2017-04-01_8QR,21
51341,2017-04-02_8QR,29
91919,2017-04-03_8QR,63
132399,2017-04-04_8QR,56
172916,2017-04-05_8QR,49
213398,2017-04-06_8QR,51
253969,2017-04-07_8QR,57
294404,2017-04-08_8QR,23
334734,2017-04-09_8QR,21
375173,2017-04-10_8QR,63
415703,2017-04-11_8QR,60
456213,2017-04-12_8QR,56
496716,2017-04-13_8QR,42
537193,2017-04-14_8QR,41
577680,2017-04-15_8QR,13
618140,2017-04-16_8QR,16
658651,2017-04-17_8QR,25
698982,2017-04-18_8QR,69
739338,2017-04-19_8QR,62
779722,2017-04-20_8QR,61
820087,2017-04-21_8QR,64
860325,2017-04-22_8QR,23
900680,2017-04-23_8QR,25
941002,2017-04-24_8QR,67
981327,2017-04-25_8QR,64
1021634,2017-04-26_8QR,55
1062020,2017-04-27_8QR,64
1102351,2017-04-28_8QR,57
1140068,2017-04-29_8QR,16
1176930,2017-04-30_8QR,5
14316,2017-05-01_8QR,22
54681,2017-05-02_8QR,73
95206,2017-05-03_8QR,56
135675,2017-05-04_8QR,66
176238,2017-05-05_8QR,65
216756,2017-05-06_8QR,18
257306,2017-05-07_8QR,12
297692,2017-05-08_8QR,18
338039,2017-05-09_8QR,70
378523,2017-05-10_8QR,60
419026,2017-05-11_8QR,64
459526,2017-05-12_8QR,57
500002,2017-05-13_8QR,16
540480,2017-05-14_8QR,13
581008,2017-05-15_8QR,69
621480,2017-05-16_8QR,67
661993,2017-05-17_8QR,64
702292,2017-05-18_8QR,67
742640,2017-05-19_8QR,58
783083,2017-05-20_8QR,15
823390,2017-05-21_8QR,36
863629,2017-05-22_8QR,58
904014,2017-05-23_8QR,63
944324,2017-05-24_8QR,55
984661,2017-05-25_8QR,11
1024958,2017-05-26_8QR,33
1065373,2017-05-27_8QR,21
1105667,2017-05-28_8QR,7
1143388,2017-05-29_8QR,60
1180286,2017-05-30_8QR,65
