,index,y
141528,2015-07-04_1J7,13
182085,2015-07-05_1J7,23
222660,2015-07-06_1J7,43
263196,2015-07-07_1J7,39
303531,2015-07-08_1J7,27
343888,2015-07-09_1J7,37
384422,2015-07-10_1J7,25
424955,2015-07-11_1J7,0
465436,2015-07-12_1J7,14
505888,2015-07-13_1J7,9
546383,2015-07-14_1J7,13
586945,2015-07-15_1J7,33
627411,2015-07-16_1J7,33
667841,2015-07-17_1J7,31
708133,2015-07-18_1J7,12
748468,2015-07-19_1J7,20
788919,2015-07-20_1J7,36
829218,2015-07-21_1J7,32
869462,2015-07-22_1J7,33
909734,2015-07-23_1J7,36
950064,2015-07-24_1J7,32
990425,2015-07-25_1J7,14
1030724,2015-07-26_1J7,13
1071107,2015-07-27_1J7,48
1111397,2015-07-28_1J7,23
1149138,2015-07-29_1J7,33
1186015,2015-07-30_1J7,33
1216406,2015-07-31_1J7,26
23377,2015-08-01_1J7,10
63923,2015-08-02_1J7,5
104420,2015-08-03_1J7,39
144930,2015-08-04_1J7,26
185496,2015-08-05_1J7,17
226071,2015-08-06_1J7,39
266587,2015-08-07_1J7,25
306925,2015-08-08_1J7,10
347290,2015-08-09_1J7,5
387822,2015-08-10_1J7,31
428349,2015-08-11_1J7,24
468825,2015-08-12_1J7,26
509289,2015-08-13_1J7,25
549765,2015-08-14_1J7,21
590280,2015-08-15_1J7,0
630707,2015-08-16_1J7,15
671135,2015-08-17_1J7,23
711447,2015-08-18_1J7,25
751789,2015-08-19_1J7,22
792225,2015-08-20_1J7,26
832522,2015-08-21_1J7,15
872765,2015-08-22_1J7,6
913019,2015-08-23_1J7,17
953349,2015-08-24_1J7,41
993707,2015-08-25_1J7,25
1034022,2015-08-26_1J7,23
1074400,2015-08-27_1J7,36
1114698,2015-08-28_1J7,31
1152436,2015-08-29_1J7,7
1189313,2015-08-30_1J7,13
1219699,2015-08-31_1J7,31
26681,2015-09-01_1J7,37
67223,2015-09-02_1J7,50
107729,2015-09-03_1J7,53
148229,2015-09-04_1J7,46
188796,2015-09-05_1J7,6
229371,2015-09-06_1J7,16
269872,2015-09-07_1J7,48
310230,2015-09-08_1J7,44
350592,2015-09-09_1J7,40
391128,2015-09-10_1J7,52
431647,2015-09-11_1J7,32
472111,2015-09-12_1J7,19
512577,2015-09-13_1J7,21
553055,2015-09-14_1J7,60
593561,2015-09-15_1J7,42
634022,2015-09-16_1J7,30
674450,2015-09-17_1J7,36
714778,2015-09-18_1J7,37
755141,2015-09-19_1J7,10
795570,2015-09-20_1J7,24
835886,2015-09-21_1J7,52
876146,2015-09-22_1J7,51
916422,2015-09-23_1J7,46
956751,2015-09-24_1J7,52
997105,2015-09-25_1J7,40
1037426,2015-09-26_1J7,0
1077809,2015-09-27_1J7,18
1118118,2015-09-28_1J7,39
1155850,2015-09-29_1J7,33
1192731,2015-09-30_1J7,36
30106,2015-10-01_1J7,40
70650,2015-10-02_1J7,24
111157,2015-10-03_1J7,10
151653,2015-10-04_1J7,23
192219,2015-10-05_1J7,45
232796,2015-10-06_1J7,41
273305,2015-10-07_1J7,42
313656,2015-10-08_1J7,16
354004,2015-10-09_1J7,23
394549,2015-10-10_1J7,14
435059,2015-10-11_1J7,13
475517,2015-10-12_1J7,46
515997,2015-10-13_1J7,38
556483,2015-10-14_1J7,41
596983,2015-10-15_1J7,33
637450,2015-10-16_1J7,42
677874,2015-10-17_1J7,6
718187,2015-10-18_1J7,17
758539,2015-10-19_1J7,44
798989,2015-10-20_1J7,32
839310,2015-10-21_1J7,32
879551,2015-10-22_1J7,36
919831,2015-10-23_1J7,27
960172,2015-10-24_1J7,5
1000517,2015-10-25_1J7,18
1040845,2015-10-26_1J7,45
1081230,2015-10-27_1J7,40
1121543,2015-10-28_1J7,24
1159264,2015-10-29_1J7,31
1196143,2015-10-30_1J7,36
1223128,2015-10-31_1J7,14
33520,2015-11-01_1J7,28
74073,2015-11-02_1J7,60
114572,2015-11-03_1J7,42
155071,2015-11-04_1J7,47
195646,2015-11-05_1J7,40
236215,2015-11-06_1J7,25
276716,2015-11-07_1J7,9
317076,2015-11-08_1J7,26
357412,2015-11-09_1J7,44
397961,2015-11-10_1J7,47
438470,2015-11-11_1J7,6
478942,2015-11-12_1J7,33
519414,2015-11-13_1J7,42
559907,2015-11-14_1J7,11
600385,2015-11-15_1J7,21
640865,2015-11-16_1J7,45
681274,2015-11-17_1J7,41
721591,2015-11-18_1J7,39
761953,2015-11-19_1J7,40
802391,2015-11-20_1J7,40
842714,2015-11-21_1J7,7
882962,2015-11-22_1J7,21
923231,2015-11-23_1J7,36
963563,2015-11-24_1J7,56
1003920,2015-11-25_1J7,51
1044258,2015-11-26_1J7,40
1084633,2015-11-27_1J7,23
1124924,2015-11-28_1J7,0
1162671,2015-11-29_1J7,5
1199538,2015-11-30_1J7,47
36894,2015-12-01_1J7,31
77482,2015-12-02_1J7,40
117969,2015-12-03_1J7,35
158484,2015-12-04_1J7,31
199058,2015-12-05_1J7,10
239620,2015-12-06_1J7,23
280107,2015-12-07_1J7,52
320467,2015-12-08_1J7,35
360823,2015-12-09_1J7,50
401362,2015-12-10_1J7,50
441861,2015-12-11_1J7,36
482333,2015-12-12_1J7,18
522807,2015-12-13_1J7,20
563309,2015-12-14_1J7,58
603780,2015-12-15_1J7,37
644282,2015-12-16_1J7,39
684676,2015-12-17_1J7,40
724990,2015-12-18_1J7,30
765351,2015-12-19_1J7,17
805791,2015-12-20_1J7,0
846112,2015-12-21_1J7,43
886359,2015-12-22_1J7,39
926647,2015-12-23_1J7,33
966971,2015-12-24_1J7,21
1007324,2015-12-25_1J7,7
1047661,2015-12-26_1J7,23
1088031,2015-12-27_1J7,24
1128321,2015-12-28_1J7,31
1166007,2015-12-29_1J7,40
1202918,2015-12-30_1J7,37
1226518,2015-12-31_1J7,13
423,2016-01-01_1J7,6
40728,2016-01-02_1J7,26
81318,2016-01-03_1J7,17
121805,2016-01-04_1J7,70
162316,2016-01-05_1J7,45
202790,2016-01-06_1J7,58
243353,2016-01-07_1J7,45
283787,2016-01-08_1J7,47
324119,2016-01-09_1J7,20
364558,2016-01-10_1J7,25
405107,2016-01-11_1J7,47
445634,2016-01-12_1J7,42
486108,2016-01-13_1J7,40
526587,2016-01-14_1J7,54
567062,2016-01-15_1J7,51
607508,2016-01-16_1J7,10
648035,2016-01-17_1J7,21
688401,2016-01-18_1J7,59
728764,2016-01-19_1J7,29
769150,2016-01-20_1J7,54
809587,2016-01-21_1J7,64
849885,2016-01-22_1J7,54
890110,2016-01-23_1J7,22
930430,2016-01-24_1J7,23
970742,2016-01-25_1J7,83
1011055,2016-01-26_1J7,61
1051431,2016-01-27_1J7,67
1091787,2016-01-28_1J7,66
1132073,2016-01-29_1J7,63
1169753,2016-01-30_1J7,20
1206704,2016-01-31_1J7,34
3737,2016-02-01_1J7,63
44095,2016-02-02_1J7,71
84683,2016-02-03_1J7,58
125171,2016-02-04_1J7,68
165688,2016-02-05_1J7,59
206191,2016-02-06_1J7,17
246743,2016-02-07_1J7,25
287173,2016-02-08_1J7,76
327511,2016-02-09_1J7,53
367955,2016-02-10_1J7,75
408477,2016-02-11_1J7,71
448996,2016-02-12_1J7,58
489512,2016-02-13_1J7,23
529986,2016-02-14_1J7,21
570454,2016-02-15_1J7,71
610905,2016-02-16_1J7,53
651436,2016-02-17_1J7,65
691806,2016-02-18_1J7,63
732161,2016-02-19_1J7,53
772555,2016-02-20_1J7,27
812990,2016-02-21_1J7,27
853287,2016-02-22_1J7,68
893508,2016-02-23_1J7,64
933821,2016-02-24_1J7,66
974148,2016-02-25_1J7,55
1014457,2016-02-26_1J7,53
1054839,2016-02-27_1J7,24
1095191,2016-02-28_1J7,26
1135042,2016-02-29_1J7,72
7142,2016-03-01_1J7,82
47503,2016-03-02_1J7,68
88088,2016-03-03_1J7,73
128572,2016-03-04_1J7,68
169091,2016-03-05_1J7,29
209580,2016-03-06_1J7,26
250143,2016-03-07_1J7,67
290572,2016-03-08_1J7,59
371353,2016-03-10_1J7,62
411876,2016-03-11_1J7,62
452393,2016-03-12_1J7,0
492902,2016-03-13_1J7,14
533387,2016-03-14_1J7,63
573857,2016-03-15_1J7,66
614308,2016-03-16_1J7,72
654834,2016-03-17_1J7,70
695205,2016-03-18_1J7,71
735560,2016-03-19_1J7,0
775943,2016-03-20_1J7,22
816326,2016-03-21_1J7,78
856611,2016-03-22_1J7,66
896892,2016-03-23_1J7,63
937221,2016-03-24_1J7,72
977543,2016-03-25_1J7,55
1017863,2016-03-26_1J7,6
1098590,2016-03-28_1J7,32
1136308,2016-03-29_1J7,81
1173139,2016-03-30_1J7,70
10557,2016-04-01_1J7,64
50913,2016-04-02_1J7,10
91492,2016-04-03_1J7,15
131967,2016-04-04_1J7,77
172484,2016-04-05_1J7,61
212966,2016-04-06_1J7,72
253537,2016-04-07_1J7,70
293972,2016-04-08_1J7,74
334306,2016-04-09_1J7,18
374746,2016-04-10_1J7,35
415271,2016-04-11_1J7,89
455781,2016-04-12_1J7,58
496284,2016-04-13_1J7,77
536761,2016-04-14_1J7,60
577249,2016-04-15_1J7,60
617711,2016-04-16_1J7,0
658220,2016-04-17_1J7,9
698550,2016-04-18_1J7,88
738906,2016-04-19_1J7,75
779290,2016-04-20_1J7,82
819655,2016-04-21_1J7,79
859893,2016-04-22_1J7,81
900254,2016-04-23_1J7,15
940574,2016-04-24_1J7,33
980895,2016-04-25_1J7,82
1061588,2016-04-27_1J7,30
1101919,2016-04-28_1J7,37
1139636,2016-04-29_1J7,61
1176499,2016-04-30_1J7,8
13884,2016-05-01_1J7,19
54249,2016-05-02_1J7,91
94774,2016-05-03_1J7,78
135243,2016-05-04_1J7,74
175809,2016-05-05_1J7,10
216326,2016-05-06_1J7,42
297263,2016-05-08_1J7,20
337607,2016-05-09_1J7,79
378091,2016-05-10_1J7,43
418594,2016-05-11_1J7,82
459094,2016-05-12_1J7,73
499570,2016-05-13_1J7,72
540051,2016-05-14_1J7,14
580584,2016-05-15_1J7,29
621049,2016-05-16_1J7,25
661561,2016-05-17_1J7,68
782651,2016-05-20_1J7,25
822965,2016-05-21_1J7,24
863205,2016-05-22_1J7,20
903582,2016-05-23_1J7,67
943892,2016-05-24_1J7,82
984229,2016-05-25_1J7,37
1024526,2016-05-26_1J7,38
1064945,2016-05-27_1J7,64
1105242,2016-05-28_1J7,21
1142963,2016-05-29_1J7,21
1179854,2016-05-30_1J7,74
1213432,2016-05-31_1J7,68
17196,2016-06-01_1J7,25
57587,2016-06-02_1J7,0
98078,2016-06-03_1J7,0
138596,2016-06-04_1J7,0
219696,2016-06-06_1J7,24
300573,2016-06-08_1J7,26
340924,2016-06-09_1J7,27
381455,2016-06-10_1J7,35
502937,2016-06-13_1J7,58
543416,2016-06-14_1J7,50
583968,2016-06-15_1J7,56
624442,2016-06-16_1J7,54
664875,2016-06-17_1J7,51
705153,2016-06-18_1J7,0
745489,2016-06-19_1J7,15
785938,2016-06-20_1J7,72
826238,2016-06-21_1J7,65
866486,2016-06-22_1J7,49
906783,2016-06-23_1J7,64
947100,2016-06-24_1J7,70
987451,2016-06-25_1J7,14
1027741,2016-06-26_1J7,30
1068142,2016-06-27_1J7,70
1108429,2016-06-28_1J7,59
1146155,2016-06-29_1J7,62
1183050,2016-06-30_1J7,69
20395,2016-07-01_1J7,57
60937,2016-07-02_1J7,19
101444,2016-07-03_1J7,10
141950,2016-07-04_1J7,90
182507,2016-07-05_1J7,69
223085,2016-07-06_1J7,63
263622,2016-07-07_1J7,57
303957,2016-07-08_1J7,54
344314,2016-07-09_1J7,12
384848,2016-07-10_1J7,32
425380,2016-07-11_1J7,78
465858,2016-07-12_1J7,78
506312,2016-07-13_1J7,71
546803,2016-07-14_1J7,8
587365,2016-07-15_1J7,52
627830,2016-07-16_1J7,16
668259,2016-07-17_1J7,26
708551,2016-07-18_1J7,97
748886,2016-07-19_1J7,72
789338,2016-07-20_1J7,61
829637,2016-07-21_1J7,62
869881,2016-07-22_1J7,66
910152,2016-07-23_1J7,10
950483,2016-07-24_1J7,32
990843,2016-07-25_1J7,84
1031141,2016-07-26_1J7,70
1071525,2016-07-27_1J7,74
1111815,2016-07-28_1J7,77
1149555,2016-07-29_1J7,62
1186432,2016-07-30_1J7,19
1216824,2016-07-31_1J7,24
23792,2016-08-01_1J7,72
64338,2016-08-02_1J7,69
104838,2016-08-03_1J7,71
145348,2016-08-04_1J7,49
185915,2016-08-05_1J7,45
226488,2016-08-06_1J7,20
267004,2016-08-07_1J7,30
307340,2016-08-08_1J7,75
347706,2016-08-09_1J7,54
388240,2016-08-10_1J7,48
428769,2016-08-11_1J7,64
469243,2016-08-12_1J7,46
509704,2016-08-13_1J7,22
550182,2016-08-14_1J7,12
590694,2016-08-15_1J7,12
631124,2016-08-16_1J7,70
671555,2016-08-17_1J7,58
711866,2016-08-18_1J7,61
752209,2016-08-19_1J7,52
792644,2016-08-20_1J7,44
832945,2016-08-21_1J7,20
873183,2016-08-22_1J7,47
913441,2016-08-23_1J7,64
953771,2016-08-24_1J7,47
994130,2016-08-25_1J7,54
1034444,2016-08-26_1J7,52
1074823,2016-08-27_1J7,14
1115124,2016-08-28_1J7,24
1152859,2016-08-29_1J7,70
1189738,2016-08-30_1J7,17
1220126,2016-08-31_1J7,63
27108,2016-09-01_1J7,62
67650,2016-09-02_1J7,56
108156,2016-09-03_1J7,27
148656,2016-09-04_1J7,30
189223,2016-09-05_1J7,86
229796,2016-09-06_1J7,73
270299,2016-09-07_1J7,61
310657,2016-09-08_1J7,63
351019,2016-09-09_1J7,68
391555,2016-09-10_1J7,14
432074,2016-09-11_1J7,31
472533,2016-09-12_1J7,82
513003,2016-09-13_1J7,74
553482,2016-09-14_1J7,81
593988,2016-09-15_1J7,67
634449,2016-09-16_1J7,75
674877,2016-09-17_1J7,17
715205,2016-09-18_1J7,29
755566,2016-09-19_1J7,74
795995,2016-09-20_1J7,83
836313,2016-09-21_1J7,87
876573,2016-09-22_1J7,77
916849,2016-09-23_1J7,86
957178,2016-09-24_1J7,36
997532,2016-09-25_1J7,35
1037851,2016-09-26_1J7,100
1078233,2016-09-27_1J7,88
1118545,2016-09-28_1J7,93
1156277,2016-09-29_1J7,80
1193158,2016-09-30_1J7,87
30533,2016-10-01_1J7,22
71077,2016-10-02_1J7,30
111583,2016-10-03_1J7,119
152078,2016-10-04_1J7,96
192646,2016-10-05_1J7,86
233223,2016-10-06_1J7,99
273732,2016-10-07_1J7,91
314083,2016-10-08_1J7,32
354431,2016-10-09_1J7,27
394970,2016-10-10_1J7,105
435475,2016-10-11_1J7,106
475944,2016-10-12_1J7,102
516424,2016-10-13_1J7,103
556910,2016-10-14_1J7,81
597409,2016-10-15_1J7,22
637876,2016-10-16_1J7,31
678295,2016-10-17_1J7,103
718609,2016-10-18_1J7,117
758965,2016-10-19_1J7,83
799415,2016-10-20_1J7,95
839736,2016-10-21_1J7,91
879978,2016-10-22_1J7,0
920258,2016-10-23_1J7,11
960593,2016-10-24_1J7,116
1000940,2016-10-25_1J7,106
1041272,2016-10-26_1J7,85
1081657,2016-10-27_1J7,92
1121969,2016-10-28_1J7,87
1159690,2016-10-29_1J7,0
1223551,2016-10-31_1J7,0
33946,2016-11-01_1J7,10
74500,2016-11-02_1J7,104
114999,2016-11-03_1J7,97
155498,2016-11-04_1J7,90
196073,2016-11-05_1J7,30
236642,2016-11-06_1J7,21
277138,2016-11-07_1J7,116
317497,2016-11-08_1J7,106
357839,2016-11-09_1J7,84
398388,2016-11-10_1J7,83
438897,2016-11-11_1J7,9
479369,2016-11-12_1J7,21
519841,2016-11-13_1J7,26
560330,2016-11-14_1J7,104
600811,2016-11-15_1J7,103
641293,2016-11-16_1J7,96
681701,2016-11-17_1J7,101
722017,2016-11-18_1J7,100
762378,2016-11-19_1J7,24
802817,2016-11-20_1J7,26
843135,2016-11-21_1J7,116
883386,2016-11-22_1J7,100
923657,2016-11-23_1J7,101
963989,2016-11-24_1J7,46
1004346,2016-11-25_1J7,91
1044684,2016-11-26_1J7,30
1085060,2016-11-27_1J7,23
1125348,2016-11-28_1J7,98
1163043,2016-11-29_1J7,97
1199929,2016-11-30_1J7,70
37322,2016-12-01_1J7,101
77910,2016-12-02_1J7,79
118397,2016-12-03_1J7,28
158911,2016-12-04_1J7,25
199483,2016-12-05_1J7,107
240043,2016-12-06_1J7,88
280535,2016-12-07_1J7,83
320892,2016-12-08_1J7,41
361251,2016-12-09_1J7,72
401790,2016-12-10_1J7,17
442290,2016-12-11_1J7,20
482759,2016-12-12_1J7,87
523235,2016-12-13_1J7,83
563738,2016-12-14_1J7,85
604208,2016-12-15_1J7,76
644711,2016-12-16_1J7,83
685105,2016-12-17_1J7,20
725419,2016-12-18_1J7,16
765779,2016-12-19_1J7,93
806218,2016-12-20_1J7,90
846541,2016-12-21_1J7,72
886788,2016-12-22_1J7,82
927075,2016-12-23_1J7,62
967399,2016-12-24_1J7,12
1007747,2016-12-25_1J7,27
1048088,2016-12-26_1J7,37
1088457,2016-12-27_1J7,49
1128749,2016-12-28_1J7,49
1166435,2016-12-29_1J7,45
1203344,2016-12-30_1J7,36
1226945,2016-12-31_1J7,18
848,2017-01-01_1J7,12
41154,2017-01-02_1J7,73
81745,2017-01-03_1J7,98
122233,2017-01-04_1J7,93
162745,2017-01-05_1J7,73
203219,2017-01-06_1J7,90
243781,2017-01-07_1J7,17
284216,2017-01-08_1J7,24
324546,2017-01-09_1J7,99
364986,2017-01-10_1J7,95
405536,2017-01-11_1J7,73
446063,2017-01-12_1J7,97
486537,2017-01-13_1J7,89
527016,2017-01-14_1J7,25
567491,2017-01-15_1J7,27
607937,2017-01-16_1J7,109
648464,2017-01-17_1J7,122
688830,2017-01-18_1J7,102
729193,2017-01-19_1J7,117
769579,2017-01-20_1J7,106
810015,2017-01-21_1J7,16
850313,2017-01-22_1J7,23
890537,2017-01-23_1J7,114
930855,2017-01-24_1J7,112
971171,2017-01-25_1J7,95
1011484,2017-01-26_1J7,113
1051860,2017-01-27_1J7,110
1092216,2017-01-28_1J7,25
1132502,2017-01-29_1J7,36
1170181,2017-01-30_1J7,113
1207130,2017-01-31_1J7,102
4166,2017-02-01_1J7,109
44524,2017-02-02_1J7,5
85112,2017-02-03_1J7,89
125600,2017-02-04_1J7,26
166117,2017-02-05_1J7,17
206618,2017-02-06_1J7,114
247169,2017-02-07_1J7,112
287602,2017-02-08_1J7,93
327940,2017-02-09_1J7,94
368384,2017-02-10_1J7,91
408906,2017-02-11_1J7,20
449425,2017-02-12_1J7,21
489935,2017-02-13_1J7,102
530410,2017-02-14_1J7,85
570883,2017-02-15_1J7,106
611334,2017-02-16_1J7,91
651866,2017-02-17_1J7,90
692235,2017-02-18_1J7,24
732589,2017-02-19_1J7,26
772980,2017-02-20_1J7,123
813413,2017-02-21_1J7,125
853714,2017-02-22_1J7,93
893935,2017-02-23_1J7,105
934248,2017-02-24_1J7,90
974576,2017-02-25_1J7,29
1014885,2017-02-26_1J7,35
1055263,2017-02-27_1J7,120
1095613,2017-02-28_1J7,118
7571,2017-03-01_1J7,90
47932,2017-03-02_1J7,111
88517,2017-03-03_1J7,105
129001,2017-03-04_1J7,29
169513,2017-03-05_1J7,33
210003,2017-03-06_1J7,114
250572,2017-03-07_1J7,116
291001,2017-03-08_1J7,104
331334,2017-03-09_1J7,101
371782,2017-03-10_1J7,117
412305,2017-03-11_1J7,26
452820,2017-03-12_1J7,29
493326,2017-03-13_1J7,130
533816,2017-03-14_1J7,129
574286,2017-03-15_1J7,117
614737,2017-03-16_1J7,115
655263,2017-03-17_1J7,114
695634,2017-03-18_1J7,26
735987,2017-03-19_1J7,32
776372,2017-03-20_1J7,115
816755,2017-03-21_1J7,100
857040,2017-03-22_1J7,116
897321,2017-03-23_1J7,110
937650,2017-03-24_1J7,104
977972,2017-03-25_1J7,36
1018286,2017-03-26_1J7,17
1058659,2017-03-27_1J7,120
1099012,2017-03-28_1J7,119
1136737,2017-03-29_1J7,105
1173568,2017-03-30_1J7,116
1210526,2017-03-31_1J7,84
10986,2017-04-01_1J7,29
51338,2017-04-02_1J7,67
91916,2017-04-03_1J7,132
132396,2017-04-04_1J7,108
172913,2017-04-05_1J7,125
213395,2017-04-06_1J7,117
253966,2017-04-07_1J7,99
294401,2017-04-08_1J7,35
334731,2017-04-09_1J7,21
375170,2017-04-10_1J7,103
415700,2017-04-11_1J7,109
456210,2017-04-12_1J7,94
496713,2017-04-13_1J7,89
537190,2017-04-14_1J7,96
577678,2017-04-15_1J7,25
618137,2017-04-16_1J7,10
658648,2017-04-17_1J7,44
698979,2017-04-18_1J7,109
739335,2017-04-19_1J7,104
779719,2017-04-20_1J7,105
820084,2017-04-21_1J7,110
860322,2017-04-22_1J7,24
900677,2017-04-23_1J7,32
940999,2017-04-24_1J7,107
981324,2017-04-25_1J7,111
1021631,2017-04-26_1J7,120
1062017,2017-04-27_1J7,125
1102348,2017-04-28_1J7,102
1140065,2017-04-29_1J7,24
1176927,2017-04-30_1J7,17
14313,2017-05-01_1J7,29
54678,2017-05-02_1J7,127
95203,2017-05-03_1J7,126
135672,2017-05-04_1J7,123
176235,2017-05-05_1J7,115
216754,2017-05-06_1J7,5
297689,2017-05-08_1J7,23
338036,2017-05-09_1J7,141
378520,2017-05-10_1J7,115
419023,2017-05-11_1J7,135
459523,2017-05-12_1J7,117
499999,2017-05-13_1J7,29
540477,2017-05-14_1J7,26
581005,2017-05-15_1J7,109
621477,2017-05-16_1J7,126
661990,2017-05-17_1J7,83
702289,2017-05-18_1J7,100
742637,2017-05-19_1J7,111
783080,2017-05-20_1J7,19
823387,2017-05-21_1J7,24
863626,2017-05-22_1J7,110
904011,2017-05-23_1J7,109
944321,2017-05-24_1J7,111
984658,2017-05-25_1J7,0
1024955,2017-05-26_1J7,43
1105664,2017-05-28_1J7,16
1143385,2017-05-29_1J7,111
1180283,2017-05-30_1J7,110
1213860,2017-05-31_1J7,98
17621,2017-06-01_1J7,122
58003,2017-06-02_1J7,98
98478,2017-06-03_1J7,0
179540,2017-06-05_1J7,6
220116,2017-06-06_1J7,124
260649,2017-06-07_1J7,94
300986,2017-06-08_1J7,113
341343,2017-06-09_1J7,108
381875,2017-06-10_1J7,11
422404,2017-06-11_1J7,18
462902,2017-06-12_1J7,113
503364,2017-06-13_1J7,100
543844,2017-06-14_1J7,91
584396,2017-06-15_1J7,111
624870,2017-06-16_1J7,106
